keyword,search_volume,cpc,word_count,num_competitors,best_position,domains
"plumbing pay rates",18100,1.68,3,3,2,"servicetitan.com|getjobber.com|housecallpro.com"
"salary hvac tech",18100,11.45,3,3,4,"servicetitan.com|getjobber.com|housecallpro.com"
"salary hvac technician",18100,11.45,3,3,3,"servicetitan.com|getjobber.com|housecallpro.com"
"salary of plumber",18100,1.68,3,3,5,"servicetitan.com|getjobber.com|housecallpro.com"
"tools for a plumber",18100,0.67,4,3,4,"servicetitan.com|getjobber.com|housecallpro.com"
"how can we make a free website",18100,13.52,7,1,61,"getjobber.com"
"how can you create a website for free",18100,13.52,8,1,61,"getjobber.com"
"how do i make a web page for free",18100,13.52,9,1,31,"getjobber.com"
"how do you create a free website",18100,13.52,7,1,92,"getjobber.com"
"how do you make websites",18100,18.24,5,1,16,"getjobber.com"
"how do you make websites for free",18100,13.52,7,1,80,"getjobber.com"
"how i create website free",18100,13.52,5,1,45,"getjobber.com"
"how to create a web page free",18100,13.52,7,1,65,"getjobber.com"
"how to create a website page for free",18100,13.52,8,1,85,"getjobber.com"
"how to make a free website page",18100,13.52,7,1,77,"getjobber.com"
"how to make free web",18100,13.52,5,1,56,"getjobber.com"
"how to make web for free",18100,13.52,6,1,76,"getjobber.com"
"hvac systems installation",18100,21.56,3,1,71,"getjobber.com"
"plumbers near me yelp",18100,17.61,4,1,45,"housecallpro.com"
"yelp plumbers near me",18100,17.61,4,1,41,"housecallpro.com"
"how much do hvac make",14800,18.05,5,3,4,"servicetitan.com|getjobber.com|housecallpro.com"
"how much do hvac technicians make",14800,18.05,6,3,5,"servicetitan.com|getjobber.com|housecallpro.com"
"how much do hvac techs make",14800,18.05,6,2,5,"servicetitan.com|housecallpro.com"
"how much does an hvac tech make",14800,18.05,7,2,6,"servicetitan.com|getjobber.com"
"how much does an hvac technician make",14800,18.05,7,3,3,"servicetitan.com|getjobber.com|housecallpro.com"
"how much does hvac make",14800,18.05,5,3,3,"servicetitan.com|getjobber.com|housecallpro.com"
"how much does hvac tech make",14800,18.05,6,3,4,"servicetitan.com|getjobber.com|housecallpro.com"
"plumber trade schools",14800,6.80,3,1,68,"servicetitan.com"
"plumbing trade schools",14800,6.80,3,1,25,"servicetitan.com"
"schooling for plumbing",14800,6.88,3,1,92,"servicetitan.com"
"schools for plumbers",14800,6.88,3,1,65,"servicetitan.com"
"trade schools for plumbing",14800,6.80,4,1,58,"servicetitan.com"
"businesses on facebook",14800,7.05,3,1,60,"getjobber.com"
"company account on facebook",14800,5.81,4,1,24,"getjobber.com"
"how do you create a business page in facebook",14800,6.17,9,1,29,"getjobber.com"
"how to create a facebook for business page",14800,6.17,8,1,62,"getjobber.com"
"services digital marketing",14800,18.27,3,1,14,"housecallpro.com"
"general contractor licence",12100,5.11,3,2,16,"servicetitan.com|getjobber.com"
"general contractor license",12100,5.11,3,2,31,"servicetitan.com|getjobber.com"
"general contractor permit",12100,5.11,3,2,92,"servicetitan.com|getjobber.com"
"misfits market review",12100,2.46,3,1,96,"servicetitan.com"
"commercial cleaning contractors",12100,4.66,3,1,66,"getjobber.com"
"commercial plumbers near me",12100,25.23,4,1,89,"getjobber.com"
"general building contractors license",12100,5.11,4,1,41,"getjobber.com"
"google reviews for businesses",12100,12.01,4,1,95,"getjobber.com"
"license general contractor",12100,5.11,3,1,19,"getjobber.com"
